Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
32,0,Training,12,0.216987962292126,0.25421928829272283,0.9703165678078293,0.9083628828189179,0.943254689482528,0.8759603518968194,0.9116317025596115,0.825366552183721
32,0,Validation,17,0.216987962292126,0.25421928829272283,0.9595545034885282,0.8941470238722004,0.9185622450241068,0.870996102335668,0.896887729683791,0.7948418611360074
32,0,Testing,17,0.216987962292126,0.25421928829272283,0.9491866260642351,0.8797731045932483,0.8819490996509558,0.877607820586544,0.8800690051753881,0.7601472194830659
32,0.2,Training,21,0.23335523067445646,0.2693585204531123,0.9635973288194418,0.9059642564543819,0.938069092521229,0.8759842362963258,0.9090760718124279,0.8199499188974996
32,0.2,Validation,26,0.23335523067445646,0.2693585204531123,0.9541487126741517,0.8906462559610123,0.909032651815685,0.8729888931219412,0.8928142308706737,0.7862467640296965
32,0.2,Testing,26,0.23335523067445646,0.2693585204531123,0.9419623622202947,0.8740099970328441,0.8673189735226835,0.8808050603795284,0.8730304772857964,0.7461511609582429
32,0.4,Training,17,0.243536889631924,0.28164391883730416,0.9598899378994044,0.9051704701508139,0.932963207084791,0.8789857091676286,0.9079136977031169,0.8171962481162937
32,0.4,Validation,22,0.243536889631924,0.28164391883730416,0.949676559343413,0.8895398111664559,0.9028431727634915,0.8766228057322041,0.8911438032998271,0.7826177207816779
32,0.4,Testing,22,0.243536889631924,0.28164391883730416,0.9378876731453537,0.874921975190948,0.8635243514494377,0.8866244968372627,0.8732489936745256,0.7467652338706388
32,0.6,Training,17,0.26085676350445514,0.30192910962874697,0.9529322369053475,0.9002942084147721,0.9316726281723727,0.8709605509334819,0.9035428525934477,0.8088047967943373
32,0.6,Validation,22,0.26085676350445514,0.30192910962874697,0.9416599226075616,0.8827951043830417,0.9006830517777642,0.8656038449139877,0.8850775137004366,0.7707398149762927
32,0.6,Testing,22,0.26085676350445514,0.30192910962874697,0.9280118400024338,0.8671670050414033,0.86006470734632,0.8743875790684301,0.8660609545715928,0.7322234502055371
64,0,Training,14,0.21041930150085406,0.2545027352704509,0.9725436872005002,0.9098674934241447,0.9435394915732499,0.878515982644003,0.9129732096652203,0.8279147262102925
64,0,Validation,19,0.21041930150085406,0.2545027352704509,0.9594373161424126,0.895096288068685,0.9174461538461538,0.8738094540339361,0.897591067608358,0.7960831187979048
64,0,Testing,19,0.21041930150085406,0.2545027352704509,0.9490547929795138,0.8800423041993815,0.8796479294020315,0.8804370327774583,0.8799884991374353,0.7599773040630879
64,0.2,Training,24,0.22762254836330012,0.26778658046318426,0.9652781698475799,0.9058649865580314,0.9395136804112248,0.8745432108594403,0.9091198598781896,0.8202032492821365
64,0.2,Validation,29,0.22762254836330012,0.26778658046318426,0.955223041875736,0.8920103247493847,0.9140959001014979,0.870966796588811,0.8945579228086628,0.7899956658755466
64,0.2,Testing,29,0.22762254836330012,0.26778658046318426,0.9438472069073955,0.8774356327771087,0.8749771271729185,0.8799079930994824,0.8770902817711328,0.754192539456354
64,0.4,Training,19,0.24295428345288989,0.285755711210261,0.9599373733252787,0.9042711680764354,0.9331989292853996,0.8770829186736196,0.9071493969189125,0.8157750395992708
64,0.4,Validation,24,0.24295428345288989,0.285755711210261,0.9490107560146761,0.8893631628434548,0.9061739659367397,0.873164727603083,0.8913782492746828,0.7832763472980121
64,0.4,Testing,24,0.24295428345288989,0.285755711210261,0.9376327886351108,0.8729930996788959,0.8644102194060478,0.8817481311098332,0.8717193789534216,0.7435883470429898
64,0.6,Training,29,0.2512889779970143,0.2890869661210777,0.9571615301767478,0.9026518911026715,0.9308413902775311,0.876119581226862,0.9055133155527249,0.812431714518891
64,0.6,Validation,34,0.2512889779970143,0.2890869661210777,0.9484816714711142,0.8871942574878001,0.9038800705467372,0.8711133253230958,0.8892389297541248,0.7789898826155536
64,0.6,Testing,34,0.2512889779970143,0.2890869661210777,0.9376209655632164,0.8727762065504971,0.8654920498495917,0.8801840138010351,0.8716963772282921,0.7434998856005993
128,0,Training,14,0.21143636506642852,0.25737995642230327,0.9725306808625331,0.9095477593926735,0.942311631559182,0.8789857091676286,0.9125870785398671,0.827043821417308
128,0,Validation,19,0.21143636506642852,0.25737995642230327,0.9587477812821565,0.8942710759198882,0.9175556514768453,0.8721390264630894,0.896887729683791,0.7947496220089298
128,0,Testing,19,0.21143636506642852,0.25737995642230327,0.9497376479314155,0.8788771443424017,0.8828034346716176,0.8749856239217941,0.8794134560092007,0.7588566684296146
128,0.2,Training,24,0.2265864987648507,0.2660492021656705,0.9662911805258314,0.9090149703541127,0.9358153965483809,0.8837068588033916,0.9115481071613392,0.8243752108270974
128,0.2,Validation,29,0.2265864987648507,0.2660492021656705,0.955654203417107,0.8956186908106983,0.9089016294508148,0.8827184010784515,0.8971221756586467,0.7945741183017947
128,0.2,Testing,29,0.2265864987648507,0.2660492021656705,0.9454665431707264,0.8812247491942441,0.869716180193096,0.8930419781483612,0.8796319723979299,0.7595371664229826
128,0.4,Training,12,0.2439238827399576,0.28284407105498355,0.9590188793670663,0.905063472975247,0.9340573694108877,0.8778153735918156,0.9079216591696191,0.817326293906449
128,0.4,Validation,17,0.2439238827399576,0.28284407105498355,0.949383065161416,0.8901446250186372,0.9060308981090843,0.8748058494270726,0.8920376285789643,0.7845413098984813
128,0.4,Testing,17,0.2439238827399576,0.28284407105498355,0.9370092302523609,0.8749164334356905,0.8621867881548975,0.8880276020701553,0.8730419781483612,0.7464192767643547
128,0.6,Training,12,0.25933531292031387,0.3020448001413206,0.9533731241963215,0.8948888379555352,0.9388859741168241,0.8548306198001672,0.8995939652083914,0.8024100695252301
128,0.6,Validation,17,0.25933531292031387,0.3020448001413206,0.9421205436257868,0.87557449906715,0.907495912463841,0.8458224657855405,0.879802479266184,0.7613652007679267
128,0.6,Testing,17,0.25933531292031387,0.3020448001413206,0.9285674474004182,0.8587710949650642,0.8667385141625471,0.8509488211615871,0.8600575043128235,0.7202345315369353
256,0,Training,10,0.21799468315508397,0.25657614129407014,0.9700099691055263,0.9113791124479521,0.9323379024333373,0.891341905178934,0.9133274949245651,0.8274553046619131
256,0,Validation,15,0.21799468315508397,0.25657614129407014,0.9590226067166137,0.8976291667283687,0.9072621684727294,0.8881985757407027,0.8987046859889224,0.7975854637557218
256,0,Testing,15,0.21799468315508397,0.25657614129407014,0.9500200913918457,0.8849417354904402,0.8707558722030502,0.8995974698102358,0.8830362277170788,0.7664930301714554
256,0.2,Training,8,0.23739064167898333,0.2749091461837339,0.9617140898249121,0.904232784570218,0.9392499313752402,0.8717328131841885,0.907674853708053,0.8174644936659817
256,0.2,Validation,13,0.23739064167898333,0.2749091461837339,0.9512395438170036,0.8870851153544967,0.9123942876614727,0.8631421621780031,0.8901327550332621,0.7814048351642069
256,0.2,Testing,13,0.23739064167898333,0.2749091461837339,0.9393726713977384,0.871969609761713,0.8727733609862888,0.8711673375503163,0.8720874065554917,0.7441760730422888
256,0.4,Training,10,0.2499569425717402,0.2927683116168753,0.957546250733449,0.9053932116332338,0.9292622827161943,0.8827196369571275,0.9077624298395764,0.8165496871455311
256,0.4,Validation,15,0.2499569425717402,0.2927683116168753,0.9461342981526423,0.8891528342785877,0.9010863350485993,0.8775312838847698,0.8906016469829734,0.7814703436162911
256,0.4,Testing,15,0.2499569425717402,0.2927683116168753,0.9340197630981035,0.8757082552653558,0.8597167741506548,0.8923059229442208,0.8733525014376078,0.7472420626742357
256,0.6,Training,15,0.26146701640822834,0.2994694524545971,0.9527112440451246,0.900545972171441,0.9303223725533468,0.8726165359659249,0.9036304287249711,0.8088182993737397
256,0.6,Validation,20,0.26146701640822834,0.2994694524545971,0.9439708979874716,0.8861944203570254,0.9045874919879132,0.8685344195996835,0.8884623274624154,0.7775424580380725
256,0.6,Testing,20,0.26146701640822834,0.2994694524545971,0.9336221845620594,0.8726727963039203,0.8677704746525962,0.8776308223116733,0.8719493962047153,0.7439468210873793
