Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
32,0,Training,14,0.2042406516661375,0.25062481275734244,0.9738552241908924,0.9156124032280576,0.945080459964918,0.8879264360495204,0.9181640858246088,0.8378617149210551
32,0,Validation,19,0.2042406516661375,0.25062481275734244,0.9619300115435169,0.8987221113461024,0.9137466307277629,0.8841836884212995,0.9003604606863406,0.8011403287133249
32,0,Testing,19,0.2042406516661375,0.25062481275734244,0.9519988085132837,0.8854718014236176,0.8783181334721311,0.8927429557216792,0.8845313398504888,0.7691664174567839
32,0.2,Training,15,0.21170884056251948,0.25446227765659224,0.9718029835235215,0.9089586787850075,0.9507746344177636,0.8706659766729031,0.9127940766689224,0.8285343184243859
32,0.2,Validation,20,0.21170884056251948,0.25446227765659224,0.9605228066570747,0.8930874738850032,0.9237418182957001,0.8644023092928523,0.896521407848079,0.7946841610787724
32,0.2,Testing,20,0.21170884056251948,0.25446227765659224,0.9481670755898988,0.8769103820182933,0.8862525841007329,0.8677630822311674,0.8781943645773433,0.7565533907213452
32,0.4,Training,27,0.20706635778300442,0.251946135917636,0.9728871497016738,0.9102479428099076,0.95163111450806,0.872314000238844,0.9139882966442419,0.8308676367695176
32,0.4,Validation,32,0.20706635778300442,0.251946135917636,0.9607578430753545,0.8958856831461355,0.9265161714518301,0.8672156609911204,0.8992175365589192,0.8000755015465814
32,0.4,Testing,32,0.20706635778300442,0.251946135917636,0.9487931031860166,0.8789644464603469,0.8889620777265456,0.8691891891891892,0.8803105232892466,0.7608092698388621
32,0.6,Training,30,0.2122133569401866,0.253911902590752,0.9711794415684906,0.9088286400784843,0.9509364696876115,0.8702917877473031,0.9126945583376458,0.8283733140059387
32,0.6,Validation,35,0.2122133569401866,0.253911902590752,0.9594164870160603,0.8947232869241141,0.9261385020700038,0.865369398939132,0.8981771825454972,0.7980742337342311
32,0.6,Testing,35,0.2122133569401866,0.253911902590752,0.9468965346294014,0.8784453283092596,0.8884053539084001,0.8687061529614721,0.8797929844738356,0.7597727711569979
64,0,Training,6,0.21406560221531237,0.25166546851970645,0.9711094032283136,0.9102809309719566,0.9481841154300598,0.8752915887106405,0.9137295489829227,0.8299150925918594
64,0,Validation,11,0.21406560221531237,0.25166546851970645,0.960447645570947,0.894983923800323,0.922830282654713,0.8687688655745391,0.8980599595580694,0.797489536517418
64,0,Testing,11,0.21406560221531237,0.25166546851970645,0.9492456498929772,0.8808659217877096,0.891553775474143,0.870431282346176,0.8822771707878091,0.764769004235051
