Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
32,0.2,Training,8,0.26744819432203126,0.30258743249758846,0.9563232132348229,0.8973839593242579,0.9251912914817163,0.8711993949285458,0.9003781696588512,0.8021233612890765
32,0.2,Validation,13,0.26744819432203126,0.30258743249758846,0.9432442656742261,0.8804098531558099,0.8950731308481967,0.8662192655979838,0.882337426369311,0.7650724802403511
32,0.2,Testing,13,0.26744819432203126,0.30258743249758846,0.9265519082073767,0.8650366859590758,0.8570106327742285,0.8732144910868315,0.8637607820586544,0.7276516400024334
32,0.4,Training,17,0.2723657980802604,0.3087019715242814,0.9519185476912183,0.8914972281220372,0.9287057483955559,0.8571553680187891,0.8956769236893436,0.7937129508554114
32,0.4,Validation,22,0.2723657980802604,0.3087019715242814,0.9403480509310984,0.8757934001143097,0.8996075765534716,0.8532075139934941,0.8789965712276178,0.7590034038985531
32,0.4,Testing,22,0.2723657980802604,0.3087019715242814,0.9253923244473352,0.8603513275046122,0.8572178837283646,0.8635077630822312,0.8598389879240943,0.7196973502337635
32,0.6,Training,26,0.29011249525040705,0.31964331062041734,0.9463346605724342,0.8923285734023618,0.9113191729541739,0.8741132916683253,0.8945264917797858,0.7897114015259783
32,0.6,Validation,31,0.29011249525040705,0.31964331062041734,0.9373035605999771,0.8786043274143626,0.8881137724550898,0.8692963690179645,0.8798903965067549,0.7599513960490647
32,0.6,Testing,31,0.29011249525040705,0.31964331062041734,0.9266263629001616,0.8634409212093709,0.8518916498768748,0.8753076480736055,0.8615641173087981,0.72340156514064
64,0.2,Training,16,0.24907821031895028,0.29052942728630454,0.9613382308960643,0.8953460823880994,0.9366803492538351,0.8575056725448827,0.8997691174714383,0.8024099006701869
64,0.2,Validation,21,0.24907821031895028,0.29052942728630454,0.9473895503841515,0.8778016393938477,0.9069345917059908,0.850482079535797,0.881604782697887,0.7646923998575698
64,0.2,Testing,21,0.24907821031895028,0.29052942728630454,0.9323344617493811,0.8616064712485391,0.8669942708090735,0.8562852213916043,0.8624611845888441,0.7249776762404004
64,0.4,Training,21,0.26233388910918887,0.2990732687235485,0.9553249807257066,0.8870866967187336,0.9371312128997962,0.842116157796266,0.8928107957485769,0.789691003656938
64,0.4,Validation,26,0.26233388910918887,0.2990732687235485,0.944711292570755,0.8702882822292196,0.9095498258730311,0.8342760015238988,0.8756557160859244,0.753897636952681
64,0.4,Testing,26,0.26233388910918887,0.2990732687235485,0.929944871385768,0.852897091198651,0.8687054221034803,0.8376538240368028,0.8555261644623346,0.711507014133711
64,0.6,Training,9,0.2993321569655627,0.3244090990290917,0.9422745562447065,0.8887354950966176,0.9125106939761461,0.8661677480991998,0.8915608455077425,0.7841335773072716
64,0.6,Validation,14,0.2993321569655627,0.3244090990290917,0.9344081157950745,0.8746493165403211,0.8910578004804037,0.8588342173900302,0.8769158632007736,0.7543251348153486
64,0.6,Testing,14,0.2993321569655627,0.3244090990290917,0.9229267450607962,0.8615662760893446,0.8572306851560899,0.865945945945946,0.8608625646923519,0.7217624321354055
128,0.2,Training,17,0.24448218484339562,0.2843744684446995,0.962028521100424,0.9073567944531786,0.9189890989262238,0.8960152860156841,0.9085147884240277,0.8172849979892347
128,0.2,Validation,22,0.24448218484339562,0.2843744684446995,0.9511056754779739,0.8936837630641591,0.8940113789665083,0.8933563871875275,0.8937227090232395,0.7874456293838227
128,0.2,Testing,22,0.24448218484339562,0.2843744684446995,0.9397003019389767,0.8804692737430168,0.8560782183595872,0.9062909718228868,0.8769637722829212,0.7552277834665765
128,0.4,Training,26,0.2597088565897448,0.29366415226350584,0.9548649047190081,0.8985821278342053,0.9272550182095367,0.8716293141196608,0.9016241391664345,0.8046975392941628
128,0.4,Validation,31,0.2597088565897448,0.29366415226350584,0.9453966917505612,0.8848640496916668,0.9020091324200913,0.8683585851185417,0.887011692992996,0.7745625738324685
128,0.4,Testing,31,0.2597088565897448,0.29366415226350584,0.9334095285208496,0.8710450076419464,0.863910948211498,0.8782978723404256,0.8699712478435883,0.7400451214195207
128,0.6,Training,18,0.2870257091724827,0.3126684518565598,0.9461512189208522,0.8985402935586915,0.9129370198430632,0.8845905815851279,0.9001154412642809,0.8006169069954081
128,0.6,Validation,23,0.2870257091724827,0.3126684518565598,0.9383047572643326,0.8860002944207273,0.8901410950394889,0.8818978401664567,0.8865281481698561,0.7730894467428069
128,0.6,Testing,23,0.2870257091724827,0.3126684518565598,0.9295712119984618,0.875009830687474,0.8552446630940876,0.8957101782633697,0.8720529039677976,0.7449401113680378
256,0.2,Training,21,0.24610428500380144,0.2885271400778365,0.9614923608435859,0.9020699038197533,0.9294521010674234,0.8762549261573982,0.9048724174993034,0.8110744010523535
256,0.2,Validation,26,0.24610428500380144,0.2885271400778365,0.9493067399355628,0.8857452783927962,0.8984144209320553,0.8734284793247956,0.8873340562084224,0.7749678738234046
256,0.2,Testing,26,0.24610428500380144,0.2885271400778365,0.9358857886969469,0.8708913538562639,0.8581636298678099,0.8840023001725129,0.8689476710753307,0.73823004568296
256,0.4,Training,5,0.2875565499584842,0.31803467504536687,0.9475116474795489,0.8893129140440436,0.923986645954737,0.8571474065522869,0.8933163488714622,0.7886989442476096
256,0.4,Validation,10,0.2875565499584842,0.31803467504536687,0.9369330841896257,0.8732229444702987,0.8951677439212066,0.8523283415877854,0.8762564838964921,0.7533761623790506
256,0.4,Testing,10,0.2875565499584842,0.31803467504536687,0.9234167564062417,0.8603736479842674,0.855366358242208,0.8654399079930994,0.859551466359977,0.7191528058911268
256,0.6,Training,24,0.28334372082382314,0.30934169789464117,0.9463090953308537,0.8946471999541444,0.9209042405239335,0.8698459456231837,0.8975677719835994,0.7963604915924737
256,0.6,Validation,29,0.28334372082382314,0.30934169789464117,0.940379193708478,0.8810028987239639,0.8987287748071823,0.863962723089998,0.8833045160155907,0.7671832610500475
256,0.6,Testing,29,0.28334372082382314,0.30934169789464117,0.9298103886716174,0.8678760635736072,0.865335802977293,0.870431282346176,0.8674870615296147,0.7349868655432159
Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
32,0,Training,10,0.23063693679139474,0.27613173679088115,0.9670185166340195,0.9086309973805837,0.9334206505129884,0.8851239998407707,0.9109947852394411,0.8230920959162698
32,0,Validation,15,0.23063693679139474,0.27613173679088115,0.9530254750040268,0.8934197229982762,0.906267900750701,0.880930750520177,0.8949095917709463,0.7901280385902575
32,0,Testing,15,0.23063693679139474,0.27613173679088115,0.9401536909402765,0.8789988303030992,0.8680857745278363,0.8901897642323174,0.877458309373203,0.7551614665981113
64,0,Training,5,0.2362023309872214,0.2725643570698679,0.9680804915514194,0.9092231845652995,0.9287268137963102,0.8905218741292146,0.9110903228374667,0.8228771951161407
